rides_in_thousands,start_station_name,member_casual
0.07,Cicero Ave & Lake St,member
0.041,Cicero Ave & Quincy St,member
0.025,Cicero Ave & Quincy St,casual
0.108,Cicero Ave & Roscoe Ave,casual
0.148,Cicero Ave & Roscoe Ave,member
0.025,Cicero Ave & Wellington Ave,member
0.064,Cicero Ave & Wellington Ave,casual
0.195,Cicero Ave & Wrightwood Ave,member
0.092,Cicero Ave & Wrightwood Ave,casual
7.787,Cityfront Plaza Dr & Pioneer Ct,member
7.18,Cityfront Plaza Dr & Pioneer Ct,casual
1.854,Claremont Ave & Hirsch St,member
1.024,Claremont Ave & Hirsch St,casual
3.746,Clarendon Ave & Gordon Ter,casual
10.916,Clarendon Ave & Gordon Ter,member
3.74,Clarendon Ave & Junior Ter,casual
7.753,Clarendon Ave & Junior Ter,member
4.513,Clarendon Ave & Leland Ave,member
2.229,Clarendon Ave & Leland Ave,casual
2.153,Clark St & 9th St (AMLI),casual
3.687,Clark St & 9th St (AMLI),member
10.332,Clark St & Armitage Ave,casual
14.719,Clark St & Armitage Ave,member
7.415,Clark St & Berwyn Ave,member
3.75,Clark St & Berwyn Ave,casual
2.297,Clark St & Bryn Mawr Ave,casual
5.453,Clark St & Bryn Mawr Ave,member
3.958,Clark St & Chicago Ave,casual
8.249,Clark St & Chicago Ave,member
0.742,Clark St & Columbia Ave,casual
1.872,Clark St & Columbia Ave,member
5.584,Clark St & Drummond Pl,casual
12.01,Clark St & Drummond Pl,member
10.699,Clark St & Elm St,casual
24.427,Clark St & Elm St,member
2.294,Clark St & Elmdale Ave,member
1.256,Clark St & Elmdale Ave,casual
5.465,Clark St & Grace St,casual
6.57,Clark St & Grace St,member
5.598,Clark St & Ida B Wells Dr,member
2.698,Clark St & Ida B Wells Dr,casual
0.374,Clark St & Jarvis Ave,casual
0.976,Clark St & Jarvis Ave,member
13.007,Clark St & Lake St,member
6.135,Clark St & Lake St,casual
6.223,Clark St & Leland Ave,member
3.374,Clark St & Leland Ave,casual
